[2026-04-04T01:47:39.544Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDIxapCSOBg7S-QT7p4HM-Y.woff2 → 200 (?ms, ?B)
[2026-04-04T01:47:39.544Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pb0EPOreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:47:39.544Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pbYF_Oreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:47:39.544Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pa8FvOreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:51:03.414Z] GET http://127.0.0.1:8765/?v=4 → 200 (3ms, ?B)
[2026-04-04T01:51:03.422Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;700;900&family=JetBrains+Mono:wght@400;500;700&family=Rajdhani:wght@300;400;500;600;700&family=Cinzel:wght@400;700&display=swap → 200 (?ms, ?B)
[2026-04-04T01:51:03.438Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (1ms, 31432B)
[2026-04-04T01:51:03.439Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy0.woff2 → 200 (?ms, 11800B)
[2026-04-04T01:51:03.439Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pbYF_Oreec.woff2 → 200 (1ms, 15732B)
[2026-04-04T01:51:03.439Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDIxapCSOBg7S-QT7p4HM-Y.woff2 → 200 (1ms, 14976B)
